sexo;convive;escuela;edad;ase1;ase2;ase3;ase4;ase5;ase6;ase7;ase8;ase9;ase10;ase11;ase12;ase13;ase14;ase15;ase16;ase17;ase18;ase19;ase20;ase21;ase22;ase23;ase24;ase25;ase26;ase27;ase28;ase29;ase30;ase31;ase_total;ase_cat;bur1;bur2;bur3;bur4;bur5;bur6;bur7;bur8;bur9;bur10;bur11;bur12;bur13;bur14;bur15;bur16;bur17;bur18;bur19;bur20;bur21;bur22;bur23;bur24;bur_total;bur_cat
Mujer;Solo;Ciencias Sociales;18;2;2;2;1;2;2;2;1;3;2;2;2;1;1;2;1;1;2;2;1;1;3;1;1;2;2;2;2;2;1;2;53;Bajo;6;6;6;5;5;5;6;5;5;5;3;5;5;5;5;5;6;5;6;6;5;4;5;5;124;Severo
Mujer;Solo;Vocación salud;20;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;4;4;3;3;4;3;95;Alto;3;0;1;2;1;3;3;3;3;3;1;3;4;4;3;4;3;3;3;2;3;2;2;3;62;Moderado
Mujer;Solo;Vocación salud;20;3;3;4;4;4;4;4;4;4;3;3;3;2;3;3;3;2;3;3;3;2;3;3;3;2;3;2;3;3;3;4;96;Alto;3;0;0;0;3;3;3;3;0;0;0;0;3;3;3;3;0;0;0;0;3;3;3;3;39;Leve
Hombre;Con familia;Ciencias;18;3;3;3;4;4;4;3;3;3;3;2;3;3;4;3;3;3;3;3;3;3;3;3;1;3;3;2;3;3;3;3;93;Moderado;2;4;5;4;4;4;1;3;3;2;4;3;3;3;3;3;3;3;3;3;3;5;2;3;76;Moderado
Mujer;Con familia;Vocación salud;19;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;93;Moderado;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;10;Leve
Mujer;Con familia;Ciencias;19;3;3;3;4;4;3;3;3;4;4;3;4;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;3;3;4;4;103;Alto;1;2;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;18;Leve
Mujer;Con familia;Ciencias;19;3;4;3;3;3;3;3;3;4;4;3;4;3;3;3;3;4;3;3;3;3;4;4;3;3;3;3;3;4;4;3;102;Alto;0;0;2;3;1;0;0;0;0;0;0;0;6;1;1;1;0;0;4;0;0;0;1;0;20;Leve
Mujer;Con familia;Ciencias;19;3;3;3;4;3;3;3;2;4;4;3;3;3;3;3;3;2;3;4;3;2;4;3;2;4;2;4;4;4;3;3;97;Alto;0;0;1;2;2;3;1;1;0;1;0;0;2;0;0;1;0;4;0;0;3;1;0;1;23;Leve
Hombre;Solo;Ciencias;19;3;4;4;4;4;3;3;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;2;104;Alto;3;3;3;4;2;3;3;3;1;2;0;1;1;0;2;2;2;2;2;4;2;2;2;2;51;Moderado
Mujer;Con familia;Vocación salud;19;2;2;2;2;3;3;3;2;3;3;2;3;2;3;3;3;2;2;4;4;2;3;3;2;2;2;4;4;4;4;4;87;Moderado;2;4;0;3;3;6;4;4;0;0;2;0;0;0;0;0;3;3;3;3;0;0;0;0;40;Leve
Mujer;Solo;Ciencias;19;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;91;Moderado;3;3;3;4;1;2;1;1;0;0;0;0;4;1;1;2;0;2;3;3;2;0;1;2;39;Leve
Mujer;Con familia;Ciencias Sociales;19;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3;90;Moderado;3;3;3;3;2;3;2;2;0;3;0;1;2;1;2;2;3;1;1;0;1;1;1;1;41;Leve
Mujer;Con familia;Vocación no salud;20;3;3;3;3;3;4;4;3;4;4;3;4;3;4;4;3;3;4;3;3;3;3;3;2;2;2;3;3;3;3;3;98;Alto;5;0;1;4;0;0;3;3;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;20;Leve
Mujer;Con familia;Vocación salud;19;3;3;4;4;3;3;3;1;4;4;3;3;1;4;3;3;3;3;4;4;3;4;4;3;4;3;4;4;4;4;4;104;Alto;0;0;1;0;4;4;4;4;1;0;0;0;3;3;4;3;3;1;0;0;3;3;4;3;48;Moderado
