etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Minoritaria,Hombre,Publica nacional,15,1,0,0,2,2,1,0,1,3,2,2,2,3,3,3,5,5,5,5,4,6,6,5,6,5,5,6,7,18,5.25
Predominante,Hombre,Publica nacional,16,0,2,3,1,1,3,2,3,3,3,3,3,2,1,3,7,6,7,7,7,6,6,6,7,7,6,7,15,18,6.58333333333333
Predominante,Hombre,Publica nacional,15,2,3,3,0,0,3,3,0,3,3,3,3,3,3,3,5,5,6,7,5,1,1,5,5,3,5,1,14,21,4.08333333333333
Predominante,Hombre,Publica nacional,16,0,1,1,2,1,3,3,1,1,2,2,1,1,1,0,6,7,4,5,4,2,5,2,5,3,7,2,12,8,4.33333333333333
Predominante,Hombre,Publica nacional,15,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,3,2,4,5.75
Predominante,Hombre,Publica nacional,15,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,6,7,7,6,5,4,7,5,7,7,5,3,1,6
Predominante,Hombre,Publica nacional,15,1,2,3,3,3,2,3,3,3,2,3,3,0,3,2,3,3,6,7,7,4,6,7,6,7,7,3,20,16,5.5
Predominante,Hombre,Publica nacional,16,3,2,3,2,3,3,1,1,3,2,3,3,0,1,2,1,2,7,7,6,3,2,7,1,1,7,1,18,14,3.75
Minoritaria,Hombre,Publica nacional,14,1,1,3,2,2,3,2,1,1,3,3,0,1,2,2,4,1,7,4,7,5,5,1,1,4,7,1,15,12,3.91666666666667
Minoritaria,Hombre,Publica nacional,17,3,3,3,1,1,3,3,2,1,3,3,1,1,2,1,5,3,7,5,3,5,5,5,5,4,7,5,19,12,4.91666666666667
Minoritaria,Hombre,Publica nacional,15,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,7,7,7,7,7,6,6,7,6,7,7,6,6,4,6.66666666666667
Predominante,Hombre,Publica nacional,15,3,1,3,0,2,3,1,0,2,1,0,2,1,3,2,1,7,7,4,3,5,4,1,1,7,7,4,13,11,4.25
Minoritaria,Hombre,Publica nacional,15,1,3,2,3,3,3,2,1,0,3,2,3,2,2,2,4,7,3,2,7,2,2,2,7,7,3,6,18,14,4.33333333333333
Predominante,Hombre,Publica nacional,14,1,0,1,1,1,0,1,0,0,2,1,0,0,1,1,7,6,6,7,7,6,5,4,6,5,5,7,5,5,5.91666666666667
Predominante,Hombre,Publica nacional,15,1,0,3,0,3,2,1,0,1,1,3,0,1,0,3,5,1,5,5,1,3,1,2,1,5,5,1,10,9,2.91666666666667
Predominante,Hombre,Publica nacional,16,1,0,1,0,0,1,2,0,1,0,0,0,0,1,1,5,6,7,7,7,5,5,7,4,7,6,4,5,3,5.83333333333333
Predominante,Hombre,Publica nacional,15,3,2,0,1,3,1,1,0,1,2,3,3,1,1,1,2,2,5,5,2,3,2,2,2,2,6,3,11,12,3
Minoritaria,Hombre,Publica nacional,16,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,7,5,2,1,6.75
Predominante,Hombre,Publica nacional,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4
