Id;Survey_finish_time;Severity_1;Severity_2;Severity_3;Reactance_1;Reactance_2;Reactance_3;Reactance_4;Reactance_5;Reactance_6;Reactance_7;Reactance_8;Reactance_9;Reactance_10;Reactance_11;Attitude_1;Attitude_2;Attitude_3;Social_norms_1;Social_norms_2;Social_norms_3;Moral_norms_1;Moral_norms_2;Moral_norms_3;Beh_control_1;Beh_control_2;Beh_control_3;Beh_control_4;Intention_1;Intention_2;Intention_3;Residence;Education;Sex;Years_old;Age;Self_sick;Know;Know_recode;Reactance;Severity;Attitude;Beh_Control;Social_norms;Moral_norms;Intention
192;903;7;6;5;3;4;3;3;5;3;4;3;4;4;3;7;6;7;6;7;7;7;7;7;7;6;6;4;6;6;7;4;4;0;63;6;2;2;0;354,545,454,545,455;6;666,666,666,666,667;5,75;666,666,666,666,667;7;633,333,333,333,333
19;461;7;6;6;4;4;4;4;3;5;5;4;4;5;4;5;4;4;3;3;3;4;4;4;4;4;4;4;5;4;4;5;4;0;55;5;2;2;0;418,181,818,181,818;633,333,333,333,333;433,333,333,333,333;4;3;4;433,333,333,333,333
216;398;5;5;5;4;2;2;3;6;5;6;2;4;6;4;7;1;1;4;4;4;6;7;6;3;7;4;4;7;7;7;3;4;0;57;5;2;2;0;4;5;3;4,5;4;633,333,333,333,333;7
301;346;7;7;7;7;4;4;4;4;4;4;4;4;4;4;3;4;3;4;6;5;5;6;5;5;6;4;5;4;1;1;1;2;0;44;4;2;2;0;427,272,727,272,727;7;333,333,333,333,333;5;5;533,333,333,333,333;2
8;327;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;5;0;44;4;2;2;0;4;4;4;4;4;4;4
112;268;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;6;0;30;2;2;2;0;4;4;4;4;4;4;4
278;1022;5;6;6;3;3;3;4;4;4;4;3;4;4;3;4;5;4;4;5;4;3;2;4;1;6;2;3;5;3;4;1;1;1;45;4;2;2;0;354,545,454,545,455;566,666,666,666,667;433,333,333,333,333;3;433,333,333,333,333;3;4
50;872;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;38;3;2;2;0;4;4;4;4;4;4;4
356;774;7;7;7;1;4;4;3;3;4;3;2;4;4;3;7;7;7;5;5;5;7;7;7;7;7;7;7;7;7;7;5;3;1;63;6;2;2;0;318,181,818,181,818;7;7;7;5;7;7
41;767;6;7;7;4;5;4;3;7;6;6;4;5;5;6;6;6;5;2;4;3;6;5;7;7;7;5;7;7;6;6;3;4;1;43;4;2;2;0;5;666,666,666,666,667;566,666,666,666,667;6,5;3;6;633,333,333,333,333
298;473;5;5;5;3;3;3;4;5;5;5;3;4;4;4;7;7;7;5;5;5;5;5;5;5;6;6;6;6;6;6;1;3;1;51;5;2;2;0;390,909,090,909,091;5;7;5,75;5;5;6
365;414;5;5;5;5;3;3;3;4;4;5;4;5;4;4;4;4;4;4;4;4;3;1;3;2;6;3;7;5;5;5;1;6;1;33;3;2;2;0;4;5;4;4,5;4;233,333,333,333,333;5
225;368;7;6;6;5;5;5;5;6;6;7;7;6;6;5;5;6;5;5;6;5;7;6;6;5;6;5;6;5;5;6;4;5;1;64;6;2;2;0;572,727,272,727,273;633,333,333,333,333;533,333,333,333,333;5,5;533,333,333,333,333;633,333,333,333,333;533,333,333,333,333
208;318;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;1;43;4;2;2;0;4;4;366,666,666,666,667;4;4;4;4
169;305;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;6;1;23;2;2;2;0;4;366,666,666,666,667;4;4;4;4;4
