Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Ciudad_grande,Post-secundaria,Hombre,63,No,No,7,6,5,3,4,3,3,5,3,4,3,4,4,3,7,6,7,6,7,7,7,7,7,7,6,6,4,6,6,7
Ciudad_enorme,Post-secundaria,Hombre,55,No,No,7,6,6,4,4,4,4,3,5,5,4,4,5,4,5,4,4,3,3,3,4,4,4,4,4,4,4,5,4,4
Ciudad_mediana,Post-secundaria,Hombre,57,No,No,5,5,5,4,2,2,3,6,5,6,2,4,6,4,7,1,1,4,4,4,6,7,6,3,7,4,4,7,7,7
Poblado,Técnica,Hombre,44,No,No,7,7,7,7,4,4,4,4,4,4,4,4,4,4,3,4,3,4,6,5,5,6,5,5,6,4,5,4,1,1
Ciudad_pequeña,Bachillerato,Hombre,44,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Hombre,30,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Primaria,Mujer,45,No,No,5,6,6,3,3,3,4,4,4,4,3,4,4,3,4,5,4,4,5,4,3,2,4,1,6,2,3,5,3,4
Ciudad_grande,Secundaria,Mujer,38,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Secundaria,Mujer,63,No,No,7,7,7,1,4,4,3,3,4,3,2,4,4,3,7,7,7,5,5,5,7,7,7,7,7,7,7,7,7,7
Ciudad_mediana,Post-secundaria,Mujer,43,No,No,6,7,7,4,5,4,3,7,6,6,4,5,5,6,6,6,5,2,4,3,6,5,7,7,7,5,7,7,6,6
Poblado,Secundaria,Mujer,51,No,No,5,5,5,3,3,3,4,5,5,5,3,4,4,4,7,7,7,5,5,5,5,5,5,5,6,6,6,6,6,6
Poblado,Universitaria,Mujer,33,No,No,5,5,5,5,3,3,3,4,4,5,4,5,4,4,4,4,4,4,4,4,3,1,3,2,6,3,7,5,5,5
Ciudad_grande,Bachillerato,Mujer,64,No,No,7,6,6,5,5,5,5,6,6,7,7,6,6,5,5,6,5,5,6,5,7,6,6,5,6,5,6,5,5,6
Ciudad_pequeña,Post-secundaria,Mujer,43,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Mujer,23,No,No,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Mujer,43,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_grande,Universitaria,Mujer,27,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Mujer,45,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
